Inicial,,,Fase 0,,,Fase 1,,,Fase 2,,,Fase 3,,,Fase 4,,
Memoria usada (MB),Tiempo (s),Ciclos de reloj estimados,Memoria usada (MB),Tiempo (s),Ciclos de reloj estimados,Memoria usada (MB),Tiempo (s),Ciclos de reloj estimados,Memoria usada (MB),Tiempo (s),Ciclos de reloj estimados,Memoria usada (MB),Tiempo (s),Ciclos de reloj estimados,Memoria usada (MB),Tiempo (s),Ciclos de reloj estimados,Tiempo total
443836.0,3.848899996228283e-05,461867.999547394,462384.0,9.154807564000293,109857690768.00352,466132.0,0.21991215499974714,2638945859.996966,466084.0,0.04840873900002407,290452434.0001444,466084.0,1.018499387999782,6110996327.998692,466084.0,0.13886972899990724,1110957831.9992578,10.606463554000129
466084.0,3.442700017330935e-05,275416.0013864748,470100.0,3.6703514549999454,44044217459.999344,485976.0,0.19719635999990714,2366356319.9988856,485976.0,0.0458937009998408,275362205.99904484,485976.0,1.0093500109996967,6056100065.99818,485976.0,0.20468790599989006,1228127435.9993403,5.156303793000006
485976.0,4.604200012181536e-05,276252.0007308922,486976.0,3.6731240730000536,29384992584.000427,489496.0,0.1790120279997609,2148144335.997131,489488.0,0.04322472400008337,259348344.00050023,489488.0,1.0093289159999586,6055973495.999751,489488.0,0.15325849100008782,1072809437.0006148,5.088640711000153
489488.0,3.9635000121052144e-05,277445.000847365,490480.0,3.618396070000017,43420752840.000206,495772.0,0.17393675300036193,2087241036.0043433,495772.0,0.04329780199986999,259786811.99921992,495772.0,1.0117494880000777,6070496928.000466,495772.0,0.12753198600012183,892723902.0008528,5.003652545000023
495772.0,3.968800001530326e-05,277816.0001071228,496528.0,3.6321862700001475,43586235240.00177,503080.0,0.1786187620000419,2143425144.0005028,503064.0,0.04498391900006027,269903514.0003616,503064.0,1.0141976140002953,6085185684.001772,503064.0,0.13816227500001332,1105298200.0001066,5.036845380000159
503064.0,5.119799970998429e-05,409583.9976798743,503308.0,3.6660825029998705,43992990035.99844,505324.0,0.17015323199984778,2041838783.9981732,505316.0,0.04337286700001641,260237202.00009847,505316.0,1.0085522089998449,6051313253.999069,505316.0,0.2812102509997203,1687261505.9983218,5.1988178569999945
505316.0,3.848999995170743e-05,269429.999661952,506072.0,3.632391566000024,43588698792.00029,510592.0,0.17260482700021385,2071257924.002566,510592.0,0.048394634000032966,290367804.00019777,510592.0,1.0091926330001115,6055155798.0006695,510592.0,0.11798117699981958,825868238.9987371,5.009328297000138
510592.0,3.869800002576085e-05,270886.00018032594,510836.0,3.6314631700001883,43577558040.00226,514860.0,0.1772601709999435,2127122051.9993222,514860.0,0.04445685299970137,266741117.99820822,514860.0,1.0104650909997872,6062790545.998723,514860.0,0.11756392699999196,822947488.9999437,5.009893190999719
514860.0,4.12500003221794e-05,288750.0022552558,515856.0,3.6145750149999003,43374900179.9988,522156.0,0.17710666499988292,2125279979.998595,522152.0,0.04464804200006256,267888252.00037536,522152.0,1.014098069999818,6084588419.998909,522152.0,0.1678270839997822,1174789587.9984753,5.0463364030001685
